ID,Phylum,Type,Size
Calothrix_sp._336_3,Nostocales,freshwater lake,6.798186
Calothrix_sp._PCC_7507,Nostocales,freshwater lake,6.846536
Calothrix_sp._NIES-2098,Nostocales,freshwater lake,6.93732
Calothrix_sp._NIES-3974,Nostocales_2,freshwater lake,6.777128
Calothrix_sp._PCC_6303,Nostocales_2,freshwater_2 lake,6.83045
Calothrix_sp._NIES-4101,Nostocales_2,freshwater_2 lake,6.859494
Calothrix_sp._PCC_7716,Nostocales_3,freshwater_2 lake,7.057785
Calothrix_sp._NIES-4071,Nostocales_3,freshwater_2 lake,7.04395
